Design Variation:  extent_x_pos='1000mm' extent_x_size='-1000mm' extent_y_pos='1000mm' extent_y_size='-1000mm' Signal12_lower_elevation='0mm' Signal4_lower_elevation='0mm'
Setup1:LastAdaptive
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency:  6GHz

Capacitance Matrix
,C0_L,C0_R,C0_read,GND,Q0_L,Q0_R,Q0_read,Q0_xy,Q1_L,Q1_R,Q1_read,Q1_xy,
,C0_L,C0_R,C0_read,GND,Q0_L,Q0_R,Q0_read,Q0_xy,Q1_L,Q1_R,Q1_read,Q1_xy,
C0_L,1.000000000000000E+00,2.469816692697941E-01,1.145907277811246E-01,2.432647150476300E-01,1.718017421839407E-02,8.256666088433419E-02,5.723633068793982E-04,7.597358745875200E-04,3.854674696356168E-03,1.923683535721988E-03,3.719308705494491E-04,3.319130889995608E-05
C0_R,2.469816692697941E-01,1.000000000000000E+00,1.034626568155936E-02,2.583778798991937E-01,2.045711231706117E-03,4.025071769021699E-03,8.455098044371891E-05,1.433963906376895E-04,8.302966942790999E-02,1.682077333434905E-02,2.516974519624823E-03,2.056152212226030E-04
C0_read,1.145907277811246E-01,1.034626568155936E-02,1.000000000000000E+00,1.580412814419958E-01,8.544904251537518E-04,2.179360179863519E-03,3.963220000427530E-05,3.313733038819002E-05,4.410923536077498E-04,2.304179548476448E-04,5.497744533177512E-05,3.812780478180102E-06
GND,2.432647150476300E-01,2.583778798991937E-01,1.580412814419958E-01,1.000000000000000E+00,2.028980079651715E-01,1.902545630037620E-01,7.728013800579825E-02,1.644331883216590E-01,1.897562696008586E-01,2.038380213956277E-01,1.691954914389079E-01,2.260649613843227E-01
Q0_L,1.718017421839407E-02,2.045711231706117E-03,8.544904251537518E-04,2.028980079651715E-01,1.000000000000000E+00,3.497326300535008E-01,2.295005531919087E-01,4.069100254912574E-03,2.207526691628821E-04,1.256621345428908E-04,1.950572160091425E-05,2.837505039042039E-06
Q0_R,8.256666088433419E-02,4.025071769021699E-03,2.179360179863519E-03,1.902545630037620E-01,3.497326300535008E-01,1.000000000000000E+00,1.109361147303332E-02,1.512584990454084E-03,3.841662845909095E-04,2.097281816398772E-04,3.904922648909935E-05,4.447241986244031E-06
Q0_read,5.723633068793982E-04,8.455098044371891E-05,3.963220000427530E-05,7.728013800579825E-02,2.295005531919087E-01,1.109361147303332E-02,1.000000000000000E+00,1.640297462634494E-05,1.124213794539036E-05,7.211284514655305E-06,1.247148009573117E-06,2.107398311332512E-07
Q0_xy,7.597358745875200E-04,1.433963906376895E-04,3.313733038819002E-05,1.644331883216590E-01,4.069100254912574E-03,1.512584990454084E-03,1.640297462634494E-05,1.000000000000000E+00,1.517714606855840E-05,7.257977689993233E-06,1.038209812331763E-06,1.213966767207373E-07
Q1_L,3.854674696356168E-03,8.302966942790999E-02,4.410923536077498E-04,1.897562696008586E-01,2.207526691628821E-04,3.841662845909095E-04,1.124213794539036E-05,1.517714606855840E-05,1.000000000000000E+00,3.497151730436985E-01,8.953915854947606E-03,7.830468686324461E-04
Q1_R,1.923683535721988E-03,1.682077333434905E-02,2.304179548476448E-04,2.038380213956277E-01,1.256621345428908E-04,2.097281816398772E-04,7.211284514655305E-06,7.257977689993233E-06,3.497151730436985E-01,1.000000000000000E+00,1.646085772137718E-01,3.148391886175882E-03
Q1_read,3.719308705494491E-04,2.516974519624823E-03,5.497744533177512E-05,1.691954914389079E-01,1.950572160091425E-05,3.904922648909935E-05,1.247148009573117E-06,1.038209812331763E-06,8.953915854947606E-03,1.646085772137718E-01,1.000000000000000E+00,9.518127629838093E-05
Q1_xy,3.319130889995608E-05,2.056152212226030E-04,3.812780478180102E-06,2.260649613843227E-01,2.837505039042039E-06,4.447241986244031E-06,2.107398311332512E-07,1.213966767207373E-07,7.830468686324461E-04,3.148391886175882E-03,9.518127629838093E-05,1.000000000000000E+00

Spice Capacitance Matrix
,C0_L,C0_R,C0_read,GND,Q0_L,Q0_R,Q0_read,Q0_xy,Q1_L,Q1_R,Q1_read,Q1_xy,
C0_L,5.768238109994963E-01,4.967234758639987E+01,1.207441851563336E+01,1.219914472619689E+02,3.249211260706182E+00,1.492617582788870E+01,4.825410180824815E-02,6.358614082706800E-02,6.957895773552123E-01,3.643634790239686E-01,4.398145767638273E-02,3.791830297379558E-03
C0_R,4.967234758639987E+01,5.096626576317864E-01,1.076310513234689E+00,1.279212818013343E+02,3.819723480707801E-01,7.183807212012836E-01,7.037498391867868E-03,1.184882436734961E-02,1.479655808840881E+01,3.145461540244478E+00,2.938484607518593E-01,2.319086689030818E-02
C0_read,1.207441851563336E+01,1.076310513234689E+00,-9.750790715438136E-15,4.099442484113945E+01,8.359139606415227E-02,2.037871683957065E-01,1.728282070628231E-03,1.434568673144698E-03,4.118354308220373E-02,2.257467576754811E-02,3.362760515856796E-03,2.253047283957357E-04
GND,1.219914472619689E+02,1.279212818013343E+02,4.099442484113945E+01,4.223428169621253E+02,9.446385768296740E+01,8.466743853948392E+01,1.603865142544439E+01,3.387870638227571E+01,8.431868557670141E+01,9.504382699410240E+01,4.925311317875025E+01,6.357630386466875E+01
Q0_L,3.249211260706182E+00,3.819723480707801E-01,8.359139606415227E-02,9.446385768296740E+01,3.684606329809166E-01,5.869723126173394E+01,1.796320470953617E+01,3.161810621320112E-01,3.699421190075545E-02,2.209750674711773E-02,2.141445590047188E-03,3.009530750052676E-04
Q0_R,1.492617582788870E+01,7.183807212012836E-01,2.037871683957065E-01,8.466743853948392E+01,5.869723126173394E+01,1.693822166143577E-01,8.299778069662311E-01,1.123442103565515E-01,6.153759361834640E-02,3.525243169623285E-02,4.097801377444316E-03,4.508648209718387E-04
Q0_read,4.825410180824815E-02,7.037498391867868E-03,1.728282070628231E-03,1.603865142544439E+01,1.796320470953617E+01,8.299778069662311E-01,-8.914910036184232E-15,5.681619464283640E-04,8.398249876252896E-04,5.652798945593834E-04,6.103445721306656E-05,9.963704461235393E-06
Q0_xy,6.358614082706800E-02,1.184882436734961E-02,1.434568673144698E-03,3.387870638227571E+01,3.161810621320112E-01,1.123442103565515E-01,5.681619464283640E-04,-9.685788322865913E-15,1.125556700158421E-03,5.648120047123742E-04,5.044052513173742E-05,5.697946783936722E-06
Q1_L,6.957895773552123E-01,1.479655808840881E+01,4.118354308220373E-02,8.431868557670141E+01,3.699421190075545E-02,6.153759361834640E-02,8.398249876252896E-04,1.125556700158421E-03,2.797700346268822E-01,5.869392028046302E+01,9.382051909113607E-01,7.926650332841743E-02
